Player_Name,Matches_Batted,Not_Outs,Runs_Scored,Balls_Faced,Centuries,Half_Centuries,Fours,Sixes,Catches_Taken,Stumpings,Matches_Bowled,Balls_Bowled,Runs_Conceded,Wickets_Taken,Four_Wicket_Hauls,Five_Wicket_Hauls,Highest_Score_Max,Boundary_Percentage,Batting_Strike_Rate,Batting_Average,Bowling_Strike_Rate,Economy_Rate,has_old_experience
Mukesh Choudhary,5.333333333333333,0.3333333333333333,2.0,2.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0,5.333333333333333,105.0,174.0,5.666666666666667,0.3333333333333333,0.0,4.0,0.16666666666666666,100.0,0.4,18.52941176470588,9.942857142857143,0
Mukesh Kumar,10.666666666666666,1.3333333333333333,3.3333333333333335,6.0,0.0,0.0,0.0,0.0,3.0,0.0,10.666666666666666,212.0,367.3333333333333,12.0,0.3333333333333333,0.0,3.0,0.0,55.55555555555556,0.3571428571428572,17.666666666666668,10.39622641509434,0
Musheer Khan,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,13.5,0
N. Tilak Varma,13.5,2.75,374.75,259.5,0.0,2.0,28.25,18.5,8.0,0.0,13.5,5.5,7.0,0.0,0.0,0.0,65.0,0.18015414258188825,144.41233140655106,34.86046511627907,99.9,7.636363636363637,0
Naman Dhir,11.5,2.5,196.0,108.5,0.0,0.5,18.0,11.5,7.5,0.0,11.5,26.0,38.0,0.0,0.0,0.0,46.0,0.271889400921659,180.64516129032256,21.77777777777778,99.9,8.769230769230768,0
Nandre Burger,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,102.0,145.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,14.571428571428571,8.529411764705882,0
Nathan Ellis,3.4615384615384617,0.07692307692307693,1.6153846153846154,3.3076923076923075,0.0,0.0,0.0,0.07692307692307693,0.6923076923076923,0.0,3.4615384615384617,77.53846153846153,112.76923076923077,4.230769230769231,0.23076923076923078,0.0,12.0,0.023255813953488375,48.83720930232558,0.4772727272727273,18.327272727272724,8.726190476190478,0
Nehal Wadhera,12.0,1.3333333333333333,239.66666666666666,167.66666666666666,0.0,1.3333333333333333,20.0,13.0,4.0,0.0,12.0,5.666666666666667,7.333333333333333,0.0,0.0,0.0,70.0,0.19681908548707755,142.94234592445326,22.46875,99.9,7.76470588235294,0
Nicholas Pooran,13.6,3.466666666666667,377.8,219.26666666666668,0.0,2.533333333333333,26.8,27.533333333333335,6.533333333333333,0.8,13.6,0.0,0.0,0.0,0.0,0.0,77.0,0.24779568257829127,172.3016114320462,37.28289473684211,99.9,0.0,0
Nitish Kumar Reddy,9.333333333333334,1.6666666666666667,161.66666666666666,121.66666666666667,0.0,0.6666666666666666,10.333333333333334,8.333333333333334,4.0,0.0,9.333333333333334,46.333333333333336,84.66666666666667,1.6666666666666667,0.0,0.0,32.0,0.15342465753424658,132.8767123287671,21.08695652173913,27.8,10.964028776978417,0
